id,createdAt,title,value,tag,category,memo
e20b6abe-2910-4545-91d5-cb71be46ecb6,2023-03-29 21:49:54,유튜브 프리미엄,3710,누수,구독 서비스,
94118b52-27db-4cd0-abce-1e9c73c145ad,2023-10-15 12:12:22,지하철,14100,누수,교통,
ebf699b5-afa7-4f74-be36-96d1d8ae5e1d,2023-09-04 19:54:15,H&M,27640,고정,패션,
04b3f18f-a53e-48d7-8f49-9397c7df0050,2023-05-27 10:06:46,인터넷 요금,4290,변동,통신비,
6e017fa6-47e5-4b77-8adb-a2b5965a8011,2023-05-17 05:31:20,로컬 카페,12610,고정,카페,
1c310885-9682-4148-b768-2f0258d7c98f,2023-09-14 16:16:24,약국,8890,누수,의료,
85d1fc2d-c02d-4c44-8ed0-ae14ef95b8c5,2023-05-09 06:49:51,게임,8170,누수,기타,
94f9717b-5541-47bf-9c5d-1f847b18469e,2023-01-04 22:58:50,택시,10320,누수,교통,
94f9717b-5541-47bf-9c5d-1e847b18469e,2023-01-07 22:58:50,택시,10500,누수,교통,
969ff376-b20e-4a8c-a921-7ea75550aad0,2023-03-14 12:38:34,로컬 카페,16530,누수,카페,
1c7ac6cf-14e1-43d3-9e2a-5c6b8f373819,2023-08-27 12:26:08,쿠팡,7670,고정,온라인 쇼핑,
a0c91266-b6ef-4d0d-95a0-3ad0578e5370,2023-10-16 13:42:20,랄라블라,2380,변동,뷰티,
9e1cd8ff-ac73-40a4-8637-fd0175e1e7e1,2023-02-19 19:24:52,은행 적금,2900,누수,저축,
7b1d4efc-a135-4685-bced-77f6f8d7bedc,2023-11-22 18:22:12,배달,22680,고정,식비,
a838dd3c-9180-4b1e-a9a1-d1470138fe6b,2023-12-21 09:47:36,지하철,10860,고정,교통,
98d5dd7c-c529-41a9-8be7-e37478abf99d,2023-04-22 21:22:26,프랜차이즈 카페,8880,누수,카페,
7e225b59-26fb-4fc2-83a7-9efc045948f5,2023-09-28 03:51:46,ZARA,11770,변동,패션,
62f9dc6e-9f3a-4fb7-99f3-ea87e5af2158,2023-04-10 14:16:06,약국,14840,고정,의료,
2286627f-6bf3-4596-9360-e3b7c7b5e520,2023-09-22 15:45:20,휴대폰 요금,5070,누수,통신비,
